Stream no: 594--------------------------------------
29 3889 25 4449
26 1552 24 2352
7 408 6 672
0 0 0 0
0 0 0 0
0 0 0 0
6 356 5 672
0 0 0 0
15 824 14 2448
0 0 0 0
0 0 0 0
0 0 0 0
4 252 3 304
16 876 15 2200
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 304 4 592
0 0 0 0
0 0 0 0
Stream no: 1000--------------------------------------
29 3889 25 4449
38 2176 37 4424
0 0 0 0
0 0 0 0
0 0 0 0
4 252 3 496
0 0 0 0
0 0 0 0
6 356 5 672
13 720 12 2248
0 0 0 0
0 0 0 0
0 0 0 0
6 356 5 576
0 0 0 0
0 0 0 0
4 252 3 304
4 252 3 304
0 0 0 0
0 0 0 0
6 356 5 528
0 0 0 0
Stream no: 1106--------------------------------------
29 3889 26 4545
24 1448 25 2440
0 0 0 0
0 0 0 0
4 252 3 496
0 0 0 0
0 0 0 0
7 408 6 672
0 0 0 0
0 0 0 0
0 0 0 0
18 980 17 2448
0 0 0 0
14 772 13 2368
0 0 0 0
7 408 6 760
0 0 0 0
6 356 5 480
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 408 6 568
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 356 5 528
7 408 6 912
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1519--------------------------------------
29 3889 26 4545
32 1864 32 4216
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
18 980 17 2456
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
