Stream no: 0--------------------------------------
1 136 0 0
2 164 2 132
0 0 0 0
1 52 2 604
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 440 0 0
3 804 3 200
7 1476 8 5600
12 2540 8 6416
0 0 0 0
8 1356 8 6556
5 1368 7 6142
3 356 4 1982
4 1080 2 724
6 2872 5 1020
2 288 0 0
3 456 5 320
7 2352 4 968
21 10636 21 18536
1 52 4 1812
9 1432 0 0
4 2728 3 808
10 2232 6 6102
8 2524 8 4256
10 9784 1 1326
4 3388 3 1610
1 52 2 2652
8 964 8 2964
7 2736 7 5016
12 1444 13 8228
1 52 10 12010
6 312 11 14586
3 248 13 12142
10 520 11 14586
8 816 10 13260
5 260 12 15912
4 208 12 15912
10 2044 14 15418
12 2308 18 16268
15 600 15 19890
14 560 14 18564
16 640 16 21216
